苏民峰书籍的   立春日 和  交界时 

1911 2月 5日 5:56
1912 2月 5日 12:10
1913 2月 4日 17:50
1914 2月 4日 23:49
1915 2月 5日 6:00
1916 2月 4日 11:15
1917 2月 4日 16:59
1918 2月 4日 22:57
1919 2月 5日 4:58
1920 2月 5日 10:44
1921 2月 4日 16:21
1922 2月 4日 22:22
1923 2月 5日 3:58
1924 2月 5日 9:57
1925 2月 4日 16:22
1926 2月 4日 22:14
1927 2月 5日 23:31
1928 2月 5日 9:15
1929 2月 4日 15:19
1930 2月 4日 20:59


1931 2月 5日 2:41
1932 2月 5日 8:26
1933 2月 4日 14:55
1934 2月 4日 20:04
1935 2月 5日 2:54
1936 2月 5日 7:39
1937 2月 4日 13:26
1938 2月 4日 19:16
1939 2月 5日 1:22
1940 2月 5日 7:03
1941 2月 4日 12:53
1942 2月 4日 18:46
1943 2月 5日 0:41
1944 2月 5日 6:22
1945 2月 4日 12:16
1946 2月 4日 18:11
1947 2月 4日 23:58
1948 2月 5日 5:49
1949 2月 4日 11:30
1950 2月 4日 17:22


1951 2月 4日 23:12
1952 2月 5日 4:59
1953 2月 4日 10:49
1954 2月 4日 16:39
1955 2月 4日 22:18 
1956 2月 5日 4:10
1957 2月 4日 9:58
1958 2月 4日 15:56
1959 2月 4日 21:46
1960 2月 5日 3:24
1961 2月 4日 9:26
1962 2月 4日 15:16
1963 2月 4日 21:08
1964 2月 5日 3:06
1965 2月 4日 4:46
1966 2月 4日 14:45
1967 2月 4日 20:24
1968 2月 5日 2:17
1969 2月 4日 8:09
1970 2月 4日 13:33


1971 2月 4日 19:32
1972 2月 5日 1:28
1973 2月 4日 7:20
1974 2月 4日 13:03
1975 2月 4日 18:52
1976 2月 5日 0:44
1977 2月 4日 6:37
1978 2月 4日 12:14
1979 2月 4日 0:13
1980 2月 5日 0:11
1981 2月 4日 6:01
1982 2月 4日 11:52
1983 2月 4日 17:45
1984 2月 4日 23:29
1985 2月 4日 5:09
1986 2月 5日 11:14
1987 2月 4日 16:51
1988 2月 4日 22:52
1989 2月 5日 4:35
1990 2月 4日 10:10


1991 2月 4日 16:19
1992 2月 4日 21:53
1993 2月 4日 3:40
1994 2月 4日 9:30
1995 2月 4日 15:23
1996 2月 4日 21:13
1997 2月 4日 3:00
1998 2月 4日 8:47
1999 2月 4日 14:42
2000 2月 4日 20:31
2001 2月 4日 2:21
2002 2月 4日 8:10
2003 2月 4日 14:02
2004 2月 4日 19:51
2005 2月 4日 1:29
2006 2月 4日 7:23
2007 2月 4日 13:12
2008 2月 4日 19:00
2009 2月 4日 0:45
2010 2月 4日 6:42


2011 2月 4日 12:38
2012 2月 4日 18:30
2013 2月 4日 0:17
2014 2月 4日 6:03
2015 2月 4日 11:58
2016 2月 4日 6:03
2017 2月 3日 23:48
2018 2月 4日 5:41
2019 2月 4日 11:31
2020 2月 4日 17:22
2021 2月 3日 23:05
2022 2月 4日 4:57
2023 2月 4日 10:47
2024 2月 4日 16:37
2025 2月 3日 22:30
2026 2月 4日 4:20
2027 2月 4日 10:10
2028 2月 4日 15:46
2029 2月 3日 21:36
2030 2月 4日 3:27


2031 2月 4日 9:20
2032 2月 4日 15:13
2033 2月 3日 20:59
2034 2月 4日 2:46
2035 2月 4日 8:33
2036 2月 4日 14:20
2037 2月 3日 20:07
2038 2月 4日 1:55
2039 2月 4日 7:32
2040 2月 4日 13:22
2041 2月 3日 19:08
2042 2月 4日 0:54
2043 2月 4日 6:40
2044 2月 4日 12:26
2045 2月 3日 18:02
2046 2月 3日 23:48
2047 2月 4日 5:31
2048 2月 4日 11:17
2049 2月 4日 17:07
2050 2月 3日 23:00


2051 2月 4日 5:02
2052 2月 3日 11:00
2053 2月 3日 16:55
2054 2月 3日 22:47
2055 2月 4日 4:18
2056 2月 4日 10:10
2057 2月 3日 16:01
2058 2月 3日 21:52
2059 2月 4日 3:46
2060 2月 4日 9:37
